Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,,
2024-02-09,60375184.0,60375184.0,60737376.0,58900580.0,58900580.0,34857164730073
2024-02-10,62778148.0,62778148.0,64171648.0,60345196.0,60369608.0,52351656465157
2024-02-11,63609128.0,63609128.0,64108312.0,62456076.0,62786572.0,21835418464079
2024-02-12,64304224.0,64304224.0,64627296.0,63404240.0,63606052.0,25719427172130
2024-02-13,66414436.0,66414436.0,66841536.0,63486416.0,64307512.0,45880215395635
2024-02-14,66717788.0,66717788.0,66913124.0,64896880.0,66392020.0,47739709977857
2024-02-15,68867048.0,68867048.0,69365048.0,65898668.0,66705724.0,51963330426107
2024-02-16,68785384.0,68785384.0,70294072.0,68243960.0,68880448.0,51073125707897
2024-02-17,69507640.0,69507640.0,70136528.0,68920488.0,68784288.0,37552860369588
2024-02-18,68845072.0,68845072.0,69549904.0,67521384.0,69509608.0,26663714493054
2024-02-19,69457592.0,69457592.0,69769976.0,68273016.0,68843712.0,23447292941045
2024-02-20,69127552.0,69127552.0,70066936.0,69014856.0,69473944.0,28519505256630
2024-02-21,69757528.0,69757528.0,70570880.0,67715000.0,69125664.0,44499975658588
2024-02-22,69115272.0,69115272.0,69865704.0,67625632.0,69742400.0,38164535905394
2024-02-23,68110992.0,68110992.0,69057424.0,67619248.0,69135888.0,33738754423573
2024-02-24,67524224.0,67524224.0,68433176.0,67297720.0,68083016.0,28519441176764
2024-02-25,68641136.0,68641136.0,68791664.0,67329232.0,67530112.0,20196697656685
2024-02-26,68858016.0,68858016.0,69145488.0,68288512.0,68633304.0,20515341521421
2024-02-27,72642856.0,72642856.0,73196328.0,67785656.0,68854424.0,45399003402356
2024-02-28,75953296.0,75953296.0,76654800.0,72591912.0,72638808.0,66202516130726
2024-02-29,83465648.0,83465648.0,85401832.0,75623864.0,75934304.0,111153241500833
2024-03-01,81756200.0,81756200.0,84735144.0,80804536.0,83458160.0,87498296111878
2024-03-02,83164680.0,83164680.0,84125096.0,81101232.0,81715696.0,53524224102632
2024-03-03,82617552.0,82617552.0,83188744.0,82121344.0,83152720.0,31817058100981
2024-03-04,84134352.0,84134352.0,84218048.0,81825304.0,82619856.0,34968171270451
2024-03-05,90875280.0,90875280.0,91227640.0,83058440.0,84093904.0,93987414186482
2024-03-06,85146312.0,85146312.0,92249528.0,79251296.0,90889440.0,137196342322095
2024-03-07,87795880.0,87795880.0,90289744.0,83966008.0,85112752.0,91306589906009
2024-03-08,88489088.0,88489088.0,90092728.0,87229440.0,87786504.0,62129724989855
2024-03-09,89947808.0,89947808.0,92225464.0,87168864.0,88505760.0,77967234359909
2024-03-10,90209600.0,90209600.0,90438984.0,89622560.0,89946712.0,28458829066710
2024-03-11,90905816.0,90905816.0,92193352.0,89878736.0,90211408.0,46999292976694
2024-03-12,94584728.0,94584728.0,95532992.0,88490800.0,90906824.0,86182138014074
2024-03-13,93794368.0,93794368.0,95643736.0,90220312.0,94586328.0,82080968025957
2024-03-14,96035008.0,96035008.0,96966128.0,93528984.0,93795448.0,63353443089288
2024-03-15,94427600.0,94427600.0,97211528.0,90835400.0,96029584.0,78818548085962
2024-03-16,92330616.0,92330616.0,96030088.0,87386832.0,94416072.0,104192832742399
2024-03-17,86891312.0,86891312.0,93185360.0,86207888.0,92315600.0,62316050180980
2024-03-18,91000064.0,91000064.0,91605608.0,85867216.0,86892944.0,59499934481208
2024-03-19,90253736.0,90253736.0,91819576.0,88952432.0,90974368.0,65819900019474
2024-03-20,82803136.0,82803136.0,91077776.0,82274344.0,90263808.0,99257457315693
2024-03-21,90363416.0,90363416.0,90558768.0,81428872.0,82826376.0,88871805576865
2024-03-22,87429712.0,87429712.0,90643728.0,86210112.0,90360640.0,59380391029680
2024-03-23,85756928.0,85756928.0,89146616.0,83847528.0,87427760.0,55667941870086
2024-03-24,86138040.0,86138040.0,88711872.0,84761560.0,85789136.0,33264012086795
2024-03-25,90394176.0,90394176.0,90916616.0,85820240.0,86149536.0,36578436764293
2024-03-26,93728176.0,93728176.0,95376136.0,88918776.0,90394072.0,57208035300915
2024-03-27,94071008.0,94071008.0,95901936.0,93196776.0,93691352.0,48401810395755
2024-03-28,93801008.0,93801008.0,96953568.0,92367528.0,94076464.0,55137937787780
2024-03-29,95540848.0,95540848.0,96552184.0,92797392.0,93797536.0,46423202325089
2024-03-30,94096712.0,94096712.0,95642944.0,92932128.0,95540640.0,33968295728007
2024-03-31,93763472.0,93763472.0,94719600.0,93703912.0,94097544.0,23062444646553
2024-04-01,95965904.0,95965904.0,96025272.0,93735960.0,93766808.0,26974741462504
2024-04-02,94510536.0,94510536.0,95977264.0,92374136.0,95965688.0,47285713207541
2024-04-03,88466528.0,88466528.0,94518992.0,87318312.0,94514440.0,68539707557796
2024-04-04,88772672.0,88772672.0,90354568.0,87132296.0,88466120.0,46401275251131
2024-04-05,92611536.0,92611536.0,93261888.0,87743648.0,88765800.0,46555997145805
2024-04-06,91666968.0,91666968.0,92716432.0,89383272.0,92620880.0,45602969342587
2024-04-07,93097240.0,93097240.0,94088392.0,91199528.0,91670928.0,26981869051477
2024-04-08,93727528.0,93727528.0,94973232.0,93037136.0,93098600.0,28653585326375
2024-04-09,97041816.0,97041816.0,98649152.0,93562072.0,93727536.0,50479526763778
2024-04-10,93348008.0,93348008.0,97103160.0,92217848.0,97043368.0,49181762685091
2024-04-11,96292104.0,96292104.0,96825152.0,92053096.0,93349664.0,52272129017572
2024-04-12,95886752.0,95886752.0,97394648.0,95255040.0,96275536.0,41268696614333
2024-04-13,92770608.0,92770608.0,97896168.0,90187808.0,95887808.0,60924910760344
